SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,48,CH,C,CANDY RIDE (ARG),ELUSIVE FATE,ELUSIVE QUALITY,TOM MCCROCKLIN AGENT,OUT,0,,01/30/2017,KENTUCKY,D,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,49,DKB,C,SHAKIN IT UP,ENCOUNTER,SOUTHERN IMAGE,BENCHMARK TRAINING CENTER INC. AGENT,NOT SOLD,27000,,01/31/2017,KENTUCKY,A&B,,,,11.1,https://www.youtube.com/watch?v=6nLALy1Yfiw
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,50,CH,C,SKY MESA,ENGLISH CROSSING,ENGLISH CHANNEL,HAVENS BLOODSTOCK AGENCY INC. AGENT,THOMSEN RACING LLC,5000,,03/24/2017,CALIFORNIA,B&C,,,,11.3,https://www.youtube.com/watch?v=ex07COcrYlA
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,51,B,F,COIL,EXASPERATED,IN EXCESS (IRE),ROBERT & LUANNE BEAN,NOT SOLD,10000,,03/01/2017,CALIFORNIA,A,,,,11.1,https://www.youtube.com/watch?v=m7vHaO0Z16M
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,52,B,C,ENGLISH CHANNEL,EXPRESSIVE STORY,AFLEET EXPRESS,CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT FOR BLUE CHIP THOROUGHBREDS,MICHAEL TURPEN JOYCE LONG/AGT,3500,,03/31/2017,KENTUCKY,C&D,,,,11.3,https://www.youtube.com/watch?v=KSt-N9Yl12c
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,53,DKB,G,TEMPLE CITY,FALSE RUMOR,DEVIL HIS DUE,HAVENS BLOODSTOCK AGENCY INC. AGENT,JOE HERRICK RACING LLC,30000,,04/20/2017,CALIFORNIA,B&C,,,,11.2,https://www.youtube.com/watch?v=-oVZNhWrKg8
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,54,B,C,COIL,FEEL THE RUSH,WILD RUSH,LOVACRES RANCH AGENT,MARGARET MARTINEZ,2000,,02/03/2017,CALIFORNIA,A,,,,G,https://www.youtube.com/watch?v=Ot0zDTgN6ik
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,55,B,F,JIMMY CREED,FELINE DELITE,MINESHAFT,TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT I,OUT,0,,03/26/2017,GEORGIA,A&B,,,,G,https://www.youtube.com/watch?v=WpXRgxUYFCQ
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,56,CH,F,SQUARE EDDIE,FREGE,JOHAR,CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT,NOT SOLD,150000,,03/18/2017,CALIFORNIA,C&D,,,,10.4,https://www.youtube.com/watch?v=qjEyLqRc6pM
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,57,B,C,BOURBON COURAGE,FULLERENE,QUIET AMERICAN,TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT IV,NOT SOLD,120000,,05/07/2017,MARYLAND,A&B,,,,,https://www.youtube.com/watch?v=PVAvan9QwGA
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,58,B,F,WICKED STRONG,FUN LOGIC,MIESQUE'S SON,LOVACRES RANCH AGENT,OUT,0,,01/30/2017,CALIFORNIA,A,,,,23.2,https://www.youtube.com/watch?v=JUD6myeTvMg
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,59,B,F,UNCLE MO,GARNET,SMART STRIKE,KINGS EQUINE AGENT FOR MALIBU FARM,ANDREW T ANDREWS,280000,,05/05/2017,KENTUCKY,C,,,,10.2,https://www.youtube.com/watch?v=oy5Y_eZudYo
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,60,B,F,GRAYDAR,GLORY GOLD,MEDAGLIA D'ORO,KINGS EQUINE AGENT,NOT SOLD,15000,,04/28/2017,KENTUCKY,C,,,,G,https://www.youtube.com/watch?v=k5WVBwG6yA4
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,61,DKB,C,SMART BID,GOLDEN REFLECTION,MEDAGLIA D'ORO,HAVENS BLOODSTOCK AGENCY INC. AGENT,VICTOR GARCIA,11000,,03/05/2017,CALIFORNIA,B&C,,,,11,https://www.youtube.com/watch?v=pCV8OPyqN8c
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,62,B,C,RED ROCKS (IRE),GREAT DESIGN,STORM CAT,TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT V,JEFF BONDE,60000,,04/22/2017,KENTUCKY,A&B,,,,10.4,https://www.youtube.com/watch?v=PBWm2z_GxiY
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,63,DKB,F,LIAM'S MAP,GWINNETT,VINDICATION,RICHARDSON BLOODSTOCK AGENT,OUT,0,,02/22/2017,KENTUCKY,D,,,,11,https://www.youtube.com/watch?v=ATSibryC-UI
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,64,CH,C,SMILING TIGER,HALO INDYGO,INDYGO SHINER,TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT VI,NOT SOLD,48000,,03/21/2017,CALIFORNIA,A&B,,,,11,https://www.youtube.com/watch?v=CQbnD0qU13M
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,65,DKB,C,COMPETITIVE EDGE,HASHTAGSID,SCAT DADDY,RICHARDSON BLOODSTOCK AGENT,OUT,0,,04/05/2017,KENTUCKY,D,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,66,CH,C,FIRST SAMURAI,HEATINAHEARTBEAT,UNUSUAL HEAT,TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT VIII,NOT SOLD,18000,,02/02/2017,KENTUCKY,A&B,,,,11,https://www.youtube.com/watch?v=IdnUVFu0d8M
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,67,CH,F,CITY ZIP,GIULIO'S JEWEL,SPEIGHTSTOWN,Q BAR J THOROUGHBREDS LLC (JENN & QUINCY ADAMS) AGENT,HARRIS FARMS,80000,Y,04/24/2017,KENTUCKY,D,,,,10.3,https://www.youtube.com/watch?v=8TWDjlXCgco
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,68,CH,C,POINT OF ENTRY,H. L. HUNLEY,ROMAN RULER,TIP THOROUGHBRED INVESTMENT POSSIBILITIES AGENT FOR DAN NORTHRUP,NOT SOLD,22000,,04/03/2017,NEW YORK,A&B,,,,11.1,https://www.youtube.com/watch?v=BxO2ql2SjYc
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,69,DKB,C,POINT OF ENTRY,HOIST THE COLORS,SAARLAND,LOVACRES RANCH AGENT,CLARKE COOPER,6000,,02/06/2017,CALIFORNIA,A,,,,G,https://www.youtube.com/watch?v=bEiF5kp5L3Y
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,70,DKB,F,FIRST SAMURAI,HULA SKIRT,DIXIE UNION,SBM TRAINING & SALES LLC AGENT,OUT,0,,03/25/2017,KENTUCKY,D,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,71,B,C,SQUARE EDDIE,IF NOT FOR YOU,HENNESSY,CHECKMATE THOROUGHBREDS LLC (ADRIAN GONZALEZ) AGENT,OUT,0,,04/25/2017,CALIFORNIA,C&D,,,,,https://www.youtube.com/watch?v=UprtUWj4N3E
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,72,GRR,F,INTO MISCHIEF,I'M SO FANCY,UNBRIDLED'S SONG,TOM MCCROCKLIN AGENT,OUT,0,,02/05/2017,KENTUCKY,D,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,73,DKB,F,TONALIST,INDIAN BREEZE,INDIAN CHARLIE,HAVENS BLOODSTOCK AGENCY INC. AGENT,NOT SOLD,100000,,04/12/2017,KENTUCKY,B&C,,,,10.4,https://www.youtube.com/watch?v=qGEe61XZMkQ
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,74,B,C,MUCHO MACHO MAN,INDIAN FIESTA,INDIAN CHARLIE,MCKATHAN BROS. AGENT,OUT,0,,03/21/2017,CALIFORNIA,D,,,,,
Santa Anita Two-Year-Olds in Training (2019),2019-06-05,75,B,C,INTO MISCHIEF,INDIAN GRACEY,INDIAN OCEAN,MCKATHAN BROS. AGENT,OUT,0,,05/02/2017,KENTUCKY,D,,,,,
